model	K	ic	params	epoch	loss
ScCP	20	32	53000	25	0.361837
ScCP	20	32	53000	26	0.344260
ScCP	20	32	53000	27	0.333120
ScCP	20	32	53000	28	0.350164
ScCP	20	32	53000	29	0.344073
ScCP	20	32	53000	30	0.327133
ScCP	20	32	53000	31	0.326768
ScCP	20	32	53000	32	0.328721
ScCP	20	32	53000	33	0.331098
ScCP	20	32	53000	34	0.330129
ScCP	20	32	53000	35	0.324981
ScCP	20	32	53000	36	0.313847
ScCP	20	32	53000	37	0.322103
ScCP	20	32	53000	38	0.317134
ScCP	20	32	53000	39	0.306222
ScCP	20	32	53000	40	0.312749
ScCP	20	32	53000	41	0.318966
ScCP	20	32	53000	42	0.319736
ScCP	20	32	53000	43	0.456146
ScCP	20	32	53000	44	0.321661
ScCP	20	32	53000	45	0.305989
ScCP	20	32	53000	46	0.306404
ScCP	20	32	53000	47	0.302474
ScCP	20	32	53000	48	0.298998
ScCP	20	32	53000	49	0.301197
ScCP	20	32	53000	50	0.315304
ScCP	20	64	105480	1	42.550859
ScCP	20	64	105480	2	2.282276
ScCP	20	64	105480	3	1.390890
ScCP	20	64	105480	4	0.651640
ScCP	20	64	105480	5	0.517403
ScCP	20	64	105480	6	0.458437
ScCP	20	64	105480	7	0.436779
ScCP	20	64	105480	8	0.417234
ScCP	20	64	105480	9	0.393839
ScCP	20	64	105480	10	0.379966
ScCP	20	64	105480	11	0.373210
ScCP	20	64	105480	12	0.373243
ScCP	20	64	105480	13	0.368808
ScCP	20	64	105480	14	0.345253
ScCP	20	64	105480	15	0.346885
ScCP	20	64	105480	16	0.336396
ScCP	20	64	105480	17	0.333463
ScCP	20	64	105480	18	0.329710
ScCP	20	64	105480	19	0.339163
ScCP	20	64	105480	20	0.333214
ScCP	20	64	105480	21	0.322232
ScCP	20	64	105480	22	0.313591
ScCP	20	64	105480	23	0.314477
ScCP	20	64	105480	24	0.309561
ScCP	20	64	105480	25	0.312860
ScCP	20	64	105480	26	0.306714
ScCP	20	64	105480	27	0.302689
ScCP	20	64	105480	28	0.315694
ScCP	20	64	105480	29	0.300552
ScCP	20	64	105480	30	0.295477
ScCP	20	64	105480	31	0.299873
ScCP	20	64	105480	32	0.301477
ScCP	20	64	105480	33	0.313100
ScCP	20	64	105480	34	0.292240
ScCP	20	64	105480	35	0.287293
ScCP	20	64	105480	36	0.288408
ScCP	20	64	105480	37	0.285954
ScCP	20	64	105480	38	0.289581
ScCP	20	64	105480	39	0.290172
ScCP	20	64	105480	40	0.287459
ScCP	20	64	105480	41	0.287833
ScCP	20	64	105480	42	0.282509
ScCP	20	64	105480	43	0.280431
ScCP	20	64	105480	44	0.279964
ScCP	20	64	105480	45	0.390912
ScCP	20	64	105480	46	0.310031
ScCP	20	64	105480	47	0.281388
ScCP	20	64	105480	48	0.281412
ScCP	20	64	105480	49	0.293942
ScCP	20	64	105480	50	0.278212
ScCP	20	128	210440	1	217.156516
ScCP	20	128	210440	2	28.120186
ScCP	20	128	210440	3	7.054013
ScCP	20	128	210440	4	3.203827
ScCP	20	128	210440	5	1.348114
ScCP	20	128	210440	6	1.264808
ScCP	20	128	210440	7	1.590531
ScCP	20	128	210440	8	0.894032
ScCP	20	128	210440	9	0.656920
ScCP	20	128	210440	10	0.490754
ScCP	20	128	210440	11	0.543080
ScCP	20	128	210440	12	0.477568
ScCP	20	128	210440	13	0.421198
ScCP	20	128	210440	14	0.408745
ScCP	20	128	210440	15	0.403728
ScCP	20	128	210440	16	0.410956
ScCP	20	128	210440	17	0.395582
ScCP	20	128	210440	18	0.359865
ScCP	20	128	210440	19	0.354735
ScCP	20	128	210440	20	0.351336
ScCP	20	128	210440	21	0.337769
ScCP	20	128	210440	22	0.344746
ScCP	20	128	210440	23	0.332517
ScCP	20	128	210440	24	0.322867
ScCP	20	128	210440	25	1.003833
ScCP	20	128	210440	26	0.629087
ScCP	20	128	210440	27	0.393678
ScCP	20	128	210440	28	0.349904
ScCP	20	128	210440	29	0.314961
ScCP	20	128	210440	30	0.334277
ScCP	20	128	210440	31	0.315096
ScCP	20	128	210440	32	0.302494
ScCP	20	128	210440	33	0.303014
ScCP	20	128	210440	34	0.306567
ScCP	20	128	210440	35	0.305863
ScCP	20	128	210440	36	0.297738
ScCP	20	128	210440	37	0.291273
ScCP	20	128	210440	38	0.325313
ScCP	20	128	210440	39	0.304194
ScCP	20	128	210440	40	0.299682
ScCP	20	128	210440	41	0.327972
ScCP	20	128	210440	42	0.291989
ScCP	20	128	210440	43	0.290638
ScCP	20	128	210440	44	0.283569
ScCP	20	128	210440	45	0.285964
ScCP	20	128	210440	46	0.302351
ScCP	20	128	210440	47	0.286312
ScCP	20	128	210440	48	0.286735
ScCP	20	128	210440	49	0.281370
ScCP	20	128	210440	50	0.282441
SmallUNet		32	176705	1	0.989187
SmallUNet		32	176705	2	0.477594
SmallUNet		32	176705	3	0.416484
SmallUNet		32	176705	4	0.398848
SmallUNet		32	176705	5	0.388225
SmallUNet		32	176705	6	0.379639
SmallUNet		32	176705	7	0.370267
SmallUNet		32	176705	8	0.363896
SmallUNet		32	176705	9	0.356475
SmallUNet		32	176705	10	0.346702
SmallUNet		32	176705	11	0.342913
SmallUNet		32	176705	12	0.330308
SmallUNet		32	176705	13	0.335019
SmallUNet		32	176705	14	0.334290
SmallUNet		32	176705	15	0.332750
SmallUNet		32	176705	16	0.329495
SmallUNet		32	176705	17	0.327710
SmallUNet		32	176705	18	0.325879
SmallUNet		32	176705	19	0.328696
SmallUNet		32	176705	20	0.324438
SmallUNet		32	176705	21	0.325752
SmallUNet		32	176705	22	0.325294
SmallUNet		32	176705	23	0.321754
SmallUNet		32	176705	24	0.321258
SmallUNet		32	176705	25	0.320227
SmallUNet		32	176705	26	0.321150
SmallUNet		32	176705	27	0.322522
SmallUNet		32	176705	28	0.320942
SmallUNet		32	176705	29	0.318845
SmallUNet		32	176705	30	0.318228
SmallUNet		32	176705	31	0.315179
SmallUNet		32	176705	32	0.317939
SmallUNet		32	176705	33	0.319268
SmallUNet		32	176705	34	0.316171
SmallUNet		32	176705	35	0.314650
SmallUNet		32	176705	36	0.317474
SmallUNet		32	176705	37	0.319244
SmallUNet		32	176705	38	0.318700
SmallUNet		32	176705	39	0.313253
SmallUNet		32	176705	40	0.316198
SmallUNet		32	176705	41	0.316145
SmallUNet		32	176705	42	0.314149
SmallUNet		32	176705	43	0.312939
SmallUNet		32	176705	44	0.316151
SmallUNet		32	176705	45	0.314162
SmallUNet		32	176705	46	0.311678
SmallUNet		32	176705	47	0.316384
SmallUNet		32	176705	48	0.312918
SmallUNet		32	176705	49	0.316010
SmallUNet		32	176705	50	0.308972
SmallUNet		64	703617	1	1.574704
SmallUNet		64	703617	2	1.177826
SmallUNet		64	703617	3	0.618506
SmallUNet		64	703617	4	0.452313
SmallUNet		64	703617	5	0.421394
SmallUNet		64	703617	6	0.400205
SmallUNet		64	703617	7	0.379278
SmallUNet		64	703617	8	0.373130
SmallUNet		64	703617	9	0.368444
SmallUNet		64	703617	10	0.355837
SmallUNet		64	703617	11	0.344493
SmallUNet		64	703617	12	0.347605
SmallUNet		64	703617	13	0.344499
SmallUNet		64	703617	14	0.338438
SmallUNet		64	703617	15	0.339573
SmallUNet		64	703617	16	0.333070
SmallUNet		64	703617	17	0.335597
SmallUNet		64	703617	18	0.329508
SmallUNet		64	703617	19	0.325284
SmallUNet		64	703617	20	0.331569
SmallUNet		64	703617	21	0.321938
SmallUNet		64	703617	22	0.325811
SmallUNet		64	703617	23	0.322168
SmallUNet		64	703617	24	0.326666
SmallUNet		64	703617	25	0.320228
SmallUNet		64	703617	26	0.316441
SmallUNet		64	703617	27	0.322833
SmallUNet		64	703617	28	0.318378
SmallUNet		64	703617	29	0.320207
SmallUNet		64	703617	30	0.318898
SmallUNet		64	703617	31	0.316523
SmallUNet		64	703617	32	0.313942
SmallUNet		64	703617	33	0.315814
SmallUNet		64	703617	34	0.319910
SmallUNet		64	703617	35	0.309961
SmallUNet		64	703617	36	0.314180
SmallUNet		64	703617	37	0.314515
SmallUNet		64	703617	38	0.315327
SmallUNet		64	703617	39	0.314370
SmallUNet		64	703617	40	0.315038
SmallUNet		64	703617	41	0.314841
SmallUNet		64	703617	42	0.313036
SmallUNet		64	703617	43	0.311817
SmallUNet		64	703617	44	0.312366
SmallUNet		64	703617	45	0.313184
SmallUNet		64	703617	46	0.310650
SmallUNet		64	703617	47	0.313212
SmallUNet		64	703617	48	0.313118
